ID,#YY,MM,DD,hh,mm,WDIR(degT),WSPD(m/s),GST(m/s),DPD(sec),APD(sec),MWD(degT),PRES(hPa),ATMP(degC),WTMP(degC),DEWP(degC),WVHT(m)
2017741650,2017,7,4,16,50,50,3.3,3.6,3.45,3.12,96,1020.1,19,18,17.3,0.33
2017741750,2017,7,4,17,50,39,3.2,3.6,3.33,3.07,95,1020,19.1,18.2,17.5,0.31
2017741850,2017,7,4,18,50,38,2.7,3.2,3.23,3.05,100,1019.8,19.5,18.4,17.4,0.29
201775250,2017,7,5,2,50,35,4.3,4.8,2.74,2.66,37,1019.5,19.5,18.5,17.1,0.28
201775350,2017,7,5,3,50,42,3,3.5,2.86,2.84,32,1019.6,19.5,18.4,17.7,0.26
201775450,2017,7,5,4,50,53,2.7,3.1,3.13,2.88,24,1019.4,19.5,18.3,17.9,0.26
201775550,2017,7,5,5,50,74,2.7,3,3.23,2.99,14,1019.2,19.4,18.2,18.1,0.25
201777750,2017,7,7,7,50,26,7.3,11.2,3.03,2.73,300,1010.6,21.5,19.3,17.5,0.31
201777850,2017,7,7,8,50,69,4.7,5.7,2.86,2.62,277,1010.4,19.7,19.1,18.2,0.29
201777950,2017,7,7,9,50,80,3.5,4,2.74,2.74,342,1011,19.6,19.1,18.4,0.32
2017771050,2017,7,7,10,50,139,3.4,3.9,3.57,3.35,331,1011,19.6,19.1,18.8,0.5
2017771150,2017,7,7,11,50,146,3,3.5,3.57,3.59,277,1010.5,20.2,19.1,19,0.55
2017771250,2017,7,7,12,50,193,3.4,4.3,4.35,3.65,355,1010.5,20.3,19.2,19.2,0.53
2017771350,2017,7,7,13,50,229,3.6,4.5,4.17,3.39,357,1010.4,20.6,19.3,18.7,0.41
2017771450,2017,7,7,14,50,293,3.1,3.6,4.76,3.53,343,1010.6,20.1,19.5,19.2,0.39
2017771550,2017,7,7,15,50,278,2.6,3.1,4.55,3.51,348,1011,20.4,19.8,18.5,0.4
2017771650,2017,7,7,16,50,356,6,7.5,3.45,3.35,67,1010.8,20,19.9,18.1,0.31
2017771750,2017,7,7,17,50,10,7.2,8.9,3.45,2.84,56,1011,19.2,19.8,17.9,0.34
2017771850,2017,7,7,18,50,12,7,8,3.23,3.08,25,1011.1,18.9,19.7,17.9,0.5
2017771950,2017,7,7,19,50,15,8.2,9.5,3.7,3.17,27,1011,18.5,19.5,17.5,0.65
2017772050,2017,7,7,20,50,8,6.4,8.2,3.85,3.31,25,1011.3,18.9,19.5,17.1,0.66
2017772150,2017,7,7,21,50,5,7.9,9.3,3.57,3.34,13,1011,18.7,19.4,16.8,0.71
2017772250,2017,7,7,22,50,2,5.6,6.5,4.35,3.64,9,1010.8,18.8,19.2,16.7,0.78
2017772350,2017,7,7,23,50,358,7.7,8.7,5,3.86,27,1011.1,19,19.2,16.6,0.88
201778050,2017,7,8,0,50,6,7.1,8.5,5.26,3.94,30,1011.2,19.1,19.1,16.8,0.85
201778150,2017,7,8,1,50,7,11.3,13.4,5,3.85,28,1013,18.8,18.8,15.9,1
201778250,2017,7,8,2,50,15,5.3,6.3,5.26,4.1,22,1012.8,19,18.6,14.7,1.08
201778350,2017,7,8,3,50,351,3.3,4,5.56,4.31,23,1012.7,18.5,18.6,16.1,1.01
201778450,2017,7,8,4,50,351,5.8,6.7,5.56,4.38,37,1012.7,18.3,18.6,16,0.89
201778550,2017,7,8,5,50,347,6.3,7.7,5.56,4.33,43,1012.9,18.4,18.6,15.8,0.82
201778650,2017,7,8,6,50,358,7.6,9,4.55,3.95,37,1013.4,18.1,18.7,14.7,0.73
201778750,2017,7,8,7,50,6,8.4,10.2,4.55,3.82,39,1013.5,17.7,18.7,14.6,0.79
201778850,2017,7,8,8,50,7,8.2,9.5,4.76,4.06,30,1013.9,17.4,18.7,14.3,0.95
201778950,2017,7,8,9,50,10,7.3,8.6,5,4.15,34,1014.5,17.2,18.7,14.1,1.05
2017781050,2017,7,8,10,50,12,7.2,8.7,5,4.05,28,1014.7,17.4,18.8,13.6,0.99
2017781150,2017,7,8,11,50,8,6.7,8,5.26,4.07,33,1015.5,17.4,18.8,13.3,0.98
2017781250,2017,7,8,12,50,5,5.8,6.6,5.26,4.06,35,1016,17.2,18.8,13.3,0.92
2017781350,2017,7,8,13,50,4,5.3,6.1,5.26,3.98,30,1016.8,17.2,18.7,13,0.89
2017781450,2017,7,8,14,50,353,5.8,6.8,5.26,4,33,1017.1,17.3,18.8,12.6,0.81
2017781550,2017,7,8,15,50,339,6,6.9,5.56,3.94,33,1017.5,17.4,18.7,13,0.81
2017781650,2017,7,8,16,50,346,5.3,6,5.26,3.88,32,1017.7,17.5,18.8,13,0.71
2017781750,2017,7,8,17,50,333,4.9,5.5,5.56,3.86,32,1017.9,17.7,18.8,12.9,0.7
2017781850,2017,7,8,18,50,328,5.2,6,5.56,3.93,40,1017.8,18,18.9,13.2,0.68
2017781950,2017,7,8,19,50,321,4.3,5,5.56,3.83,33,1017.6,18.4,19,12.8,0.6
2017782050,2017,7,8,20,50,321,3.1,3.9,5.56,4.01,43,1017.4,18.9,19,11.2,0.57
2017782150,2017,7,8,21,50,334,1,1.4,5.56,3.9,39,1017.1,19.3,19.1,10.3,0.48
2017782250,2017,7,8,22,50,230,1,1.5,5.26,3.83,8,1016.7,19.6,19.4,10.6,0.44
2017782350,2017,7,8,23,50,213,2.6,3.3,5.26,3.9,340,1016.7,19.6,19.4,12,0.39
201779050,2017,7,9,0,50,220,3.9,4.5,5.56,4,329,1016.7,19.5,19.3,12.3,0.34
201779150,2017,7,9,1,50,204,3.4,3.9,5.26,3.97,334,1016.7,19.3,19.2,13.9,0.3
201779250,2017,7,9,2,50,221,3.3,3.7,5.26,3.96,332,1017,19.3,19.2,15.4,0.26
201779650,2017,7,9,6,50,247,5.7,6.4,2.6,2.71,196,1016.6,19.8,19.1,16.2,0.25
201779750,2017,7,9,7,50,245,5.7,6.4,2.6,2.76,203,1016.4,19.8,19.1,16.8,0.33
201779850,2017,7,9,8,50,248,5.7,6.7,2.94,2.84,198,1016.5,19.8,19.1,16.4,0.31
201779950,2017,7,9,9,50,259,5.2,6.3,3.13,2.96,218,1016.2,19.5,19,16.7,0.33
2017791050,2017,7,9,10,50,262,5.5,6.2,3.45,3.1,225,1016.4,19.6,19,16.2,0.44
2017791150,2017,7,9,11,50,266,5.8,7,3.33,3.03,208,1016.7,19.7,18.9,15.7,0.39
2017791250,2017,7,9,12,50,270,5.7,6.5,3.45,3.03,203,1017,19.5,18.9,16,0.39
2017791350,2017,7,9,13,50,270,5.1,6.3,3.33,3.21,222,1017.2,19.6,19,15.7,0.43
2017791450,2017,7,9,14,50,254,5.3,6.4,3.57,3.49,215,1017,19.7,19,15.7,0.59
2017791550,2017,7,9,15,50,235,5.4,6.3,4,3.34,196,1016.9,19.8,19.1,16.2,0.49
2017791650,2017,7,9,16,50,225,5.1,5.6,4,3.39,184,1016.9,20.2,19.2,16.7,0.51
2017791750,2017,7,9,17,50,205,5.5,6.3,4,3.25,185,1016.3,20.6,19.3,16.8,0.42
2017791850,2017,7,9,18,50,193,5.6,6.6,3.7,3.09,174,1015.8,20.6,19.4,17.3,0.4
2017791950,2017,7,9,19,50,179,5.4,6.2,3.7,2.97,172,1015.3,20.8,19.5,17.7,0.37
2017792050,2017,7,9,20,50,182,5.1,5.8,3.57,2.99,162,1015,21.3,19.6,17.2,0.37
2017792150,2017,7,9,21,50,182,6.4,7.1,3.57,3,155,1014.1,21.6,19.7,16.9,0.3
2017792250,2017,7,9,22,50,168,5.8,6.4,2.86,2.83,151,1013.3,21.8,19.7,16.4,0.33
2017792350,2017,7,9,23,50,158,4.9,5.5,3.33,2.87,146,1013.1,21.8,19.7,16.4,0.37
2017710050,2017,7,10,0,50,160,4.9,5.6,2.94,2.89,156,1012.7,21.5,19.6,17.6,0.32
2017710150,2017,7,10,1,50,162,5.2,6.2,3.03,2.86,155,1012.5,21.5,19.6,18.7,0.32
2017710250,2017,7,10,2,50,157,5.1,5.8,3.13,2.84,156,1012.9,21.5,19.6,18.9,0.3
2017710350,2017,7,10,3,50,147,5.5,6.3,3.33,3,152,1012.3,21.6,19.6,18.4,0.33
2017710450,2017,7,10,4,50,155,6.9,8.2,3.23,3.03,150,1011.4,21.6,19.5,18.3,0.35
2017710550,2017,7,10,5,50,151,5.8,6.4,3.57,3.23,146,1011.2,21.2,19.5,19,0.53
2017710650,2017,7,10,6,50,165,6,6.8,3.57,3.2,142,1010.5,21.1,19.5,19.4,0.48
2017710750,2017,7,10,7,50,163,5.5,6.3,3.7,3.18,143,1010,21.1,19.5,19.7,0.44
2017710850,2017,7,10,8,50,277,7.1,9.3,3.57,3.17,142,1010.2,21.6,19.5,20.1,0.4
2017710950,2017,7,10,9,50,299,9.4,11.3,3.45,2.94,195,1010.7,22,19.5,16.6,0.41
20177101050,2017,7,10,10,50,331,4.4,5,3.13,3,221,1011.4,19.5,19.4,18.1,0.48
20177101150,2017,7,10,11,50,304,2.1,2.6,4.35,3.76,282,1011.7,19.5,19.4,18.9,0.67
20177101250,2017,7,10,12,50,90,3.4,8.1,4.17,3.43,238,1009,19.7,19.4,18.6,0.43
20177101350,2017,7,10,13,50,131,3.5,4,3.57,3.29,188,1008.7,19.5,19.4,18.7,0.34
20177101450,2017,7,10,14,50,130,9.4,11.2,3.7,2.88,146,1009.3,19.8,19.4,19,0.36
20177101550,2017,7,10,15,50,156,7.9,9.2,3.45,3.15,133,1009.9,19.9,19.4,18.9,0.64
20177101650,2017,7,10,16,50,170,8.4,9.8,3.7,3.37,132,1010.1,20.2,19.5,19,0.73
20177101750,2017,7,10,17,50,160,7.2,8.6,4,3.46,113,1010.4,20.3,19.5,19.2,0.74
20177101850,2017,7,10,18,50,134,4.5,6.1,3.85,3.43,104,1010.1,20.5,19.6,19.4,0.64
20177101950,2017,7,10,19,50,139,3.8,4.2,3.85,3.39,98,1010,20.6,19.9,19.7,0.52
20177102050,2017,7,10,20,50,165,3.5,4.3,3.7,3.2,101,1010,20.9,20,19.8,0.41
20177102150,2017,7,10,21,50,160,3.3,3.9,3.45,3.13,100,1009.9,21.1,20.1,19.5,0.35
20177102250,2017,7,10,22,50,157,2.7,3.2,3.45,3.02,110,1009.9,21.1,20.2,19.4,0.3
20177102350,2017,7,10,23,50,146,2.5,2.8,3.23,3,116,1009.8,21.5,20.2,19.2,0.26
2017712950,2017,7,12,9,50,200,8.2,10.7,5,3.85,208,1012.4,21.1,20.2,20.4,1.04
20177121050,2017,7,12,10,50,159,10.8,13.5,4.35,3.45,208,1011,21.6,20.2,19.3,0.77
20177121150,2017,7,12,11,50,186,7.4,8.8,3.7,3.49,150,1010.8,21.4,20,20.3,0.89
20177121250,2017,7,12,12,50,210,4.9,6.4,3.85,3.45,143,1011.9,21.2,19.9,20.5,0.76
20177121350,2017,7,12,13,50,150,5.7,6.5,4,3.35,168,1011.1,20.4,19.8,19.7,0.57
20177121450,2017,7,12,14,50,316,4.8,5.7,4.35,3.51,197,1014.7,19.8,19.8,19.8,0.6
20177121550,2017,7,12,15,50,108,11.5,13.7,3.85,3.32,130,1009,19.7,19.7,19.7,0.4
20177121650,2017,7,12,16,50,144,9.2,11,3.57,3.19,131,1010.1,20.4,19.7,19.5,0.62
20177121750,2017,7,12,17,50,221,11.1,14.7,3.85,3.43,122,1011.6,20.7,19.7,19.9,0.69
20177122050,2017,7,12,20,50,276,2.5,4.4,4.17,3.65,157,1010.3,21.8,19.8,20.1,0.71
20177122150,2017,7,12,21,50,209,5,6,4.76,3.88,151,1011.3,21.2,19.8,20.1,0.88
20177122250,2017,7,12,22,50,228,7.8,9.2,5,3.82,155,1011.8,21.9,19.8,20.5,0.88
20177122350,2017,7,12,23,50,223,5.6,6.3,4.76,3.86,159,1012.1,21.9,19.8,20.5,0.83
2017713050,2017,7,13,0,50,211,4,4.3,4.55,3.81,155,1012.4,21.4,19.8,20.7,0.7
2017713150,2017,7,13,1,50,190,3.2,3.5,4.35,3.82,156,1011.9,21.4,19.7,20.8,0.64
2017713250,2017,7,13,2,50,166,5.4,6.2,4.35,3.67,156,1011.9,21.2,19.7,20.8,0.52
2017713350,2017,7,13,3,50,186,4.2,4.8,4.17,3.48,148,1011.6,21.1,19.7,20.7,0.45
2017713450,2017,7,13,4,50,187,6.4,7.1,4.17,3.24,148,1011.3,21.7,19.7,21.2,0.37
2017713550,2017,7,13,5,50,205,7.7,11.1,3.23,3.1,151,1010.8,22.8,19.7,22.1,0.41
2017713650,2017,7,13,6,50,201,5.2,6,3.7,3.23,153,1010.8,22.3,19.7,21.8,0.6
2017713750,2017,7,13,7,50,234,5.9,6.9,3.13,3.03,156,1011.1,21.7,19.7,21,0.4
2017713850,2017,7,13,8,50,261,6.7,7.8,3.85,3.03,172,1011.1,22.1,19.7,20.7,0.42
2017713950,2017,7,13,9,50,256,4.2,4.7,3.57,3.21,188,1011.8,21.5,19.7,20.7,0.42
20177131050,2017,7,13,10,50,284,4.8,5.5,4,3.44,192,1012.1,21.2,19.7,20.6,0.4
20177131150,2017,7,13,11,50,291,4.7,5.3,4,3.39,201,1012.6,20.9,19.7,20.6,0.37
20177131250,2017,7,13,12,50,292,4.1,4.7,3.85,3.26,200,1013.2,20.9,19.7,20.5,0.34
20177131350,2017,7,13,13,50,273,2.8,3.3,4,3.33,181,1013.9,20.5,19.7,20.1,0.34
20177131450,2017,7,13,14,50,248,2.2,2.6,3.85,3.56,196,1014.5,20.4,19.8,20.1,0.36
20177131550,2017,7,13,15,50,27,2.2,3.2,3.45,3.31,218,1015,20.2,19.9,19.9,0.3
20177131650,2017,7,13,16,50,28,2.3,2.8,3.33,3.1,204,1014.8,20.1,20.3,20,0.25
2017714450,2017,7,14,4,50,23,4.2,4.8,4.55,3.81,22,1016.8,19.6,20.4,18.9,0.31
2017714550,2017,7,14,5,50,16,3.2,3.6,4.17,3.55,24,1016.9,19.3,20.3,18.5,0.37
2017714650,2017,7,14,6,50,6,4,4.7,5.26,3.79,15,1017.1,19.1,20.2,18.4,0.42
2017714750,2017,7,14,7,50,351,2.7,3.2,4.17,3.63,26,1017.3,19,20.1,18.2,0.45
2017714850,2017,7,14,8,50,351,3,3.4,5,3.69,18,1017.4,19,20,17.8,0.44
2017714950,2017,7,14,9,50,351,2.2,2.5,3.85,3.67,24,1017.6,19.2,20,17.8,0.44
20177141050,2017,7,14,10,50,336,6,6.8,4.17,3.62,28,1017.9,18.8,19.9,16,0.41
20177141150,2017,7,14,11,50,334,7.2,8.2,2.6,3.1,360,1018.1,18.1,19.9,15.6,0.47
20177141250,2017,7,14,12,50,333,6.2,7.5,3.7,3.55,327,1018.4,17.9,19.8,15.4,0.64
20177141350,2017,7,14,13,50,326,6.4,7.8,3.7,3.52,344,1018.7,17.9,19.8,15.8,0.65
20177141450,2017,7,14,14,50,321,3.8,5.6,4.17,3.58,357,1018.7,18.3,19.9,16.7,0.66
20177141550,2017,7,14,15,50,4,8.4,9.8,4.17,3.47,347,1018.9,18.1,20,16.1,0.78
20177141650,2017,7,14,16,50,356,7.6,8.7,4.17,3.7,3,1019.2,18.2,20,15.3,0.85
20177141750,2017,7,14,17,50,359,7.9,9.3,4.55,3.8,16,1019.4,18.1,20,15,0.85
20177141850,2017,7,14,18,50,357,6.9,8.4,4.76,3.77,19,1019.8,18.1,20,15.2,0.83
20177141950,2017,7,14,19,50,350,6.9,7.9,4.55,3.94,22,1020,18.1,20,15.2,0.92
20177142050,2017,7,14,20,50,353,6.8,8,4.76,3.85,18,1019.8,18.3,20,15.5,0.83
20177142150,2017,7,14,21,50,349,6.1,7.2,4.76,3.83,31,1020,18.3,20,15.8,0.8
20177142250,2017,7,14,22,50,360,6.6,7.5,4.76,3.76,27,1019.9,18.4,20,15.4,0.71
20177142350,2017,7,14,23,50,4,6.6,7.7,4.76,3.68,18,1020,18.4,20,15.7,0.7
2017715050,2017,7,15,0,50,360,5.2,6,4.55,3.71,29,1020,18.4,19.9,15.3,0.75
2017715150,2017,7,15,1,50,349,3.2,4,5,3.75,19,1020.1,18.2,19.9,15.6,0.63
2017715250,2017,7,15,2,50,354,2.4,3,4.35,3.78,27,1020.3,18.3,19.9,15.4,0.56
2017715350,2017,7,15,3,50,346,1.8,2.4,4.55,3.78,30,1020.3,18.3,19.9,15.6,0.55
2017715450,2017,7,15,4,50,300,1.4,1.8,4.76,3.94,43,1020.5,18.4,19.8,15.9,0.56
2017715550,2017,7,15,5,50,285,3.4,4.1,5,4.03,30,1020.7,18.5,19.8,16.1,0.55
2017715650,2017,7,15,6,50,300,3.6,4.1,5,3.87,43,1020.7,18.8,19.8,16.7,0.48
2017715750,2017,7,15,7,50,299,4,4.6,4.55,3.98,30,1020.5,19,19.8,17,0.5
2017715850,2017,7,15,8,50,293,4.1,4.9,5.26,4.14,25,1020.3,19.1,19.8,17,0.48
2017715950,2017,7,15,9,50,312,4.2,4.8,5.26,3.91,30,1020.4,19,19.7,17.4,0.44
20177151050,2017,7,15,10,50,333,3.8,4.6,5.26,3.86,38,1020.8,19.3,19.7,17.2,0.43
20177151150,2017,7,15,11,50,337,3.9,4.5,5.26,3.64,34,1021.1,19.4,19.7,16.8,0.37
20177151250,2017,7,15,12,50,331,3.9,4.6,5.26,3.57,34,1021.1,19.4,19.7,16.7,0.35
20177151350,2017,7,15,13,50,335,3.1,3.7,4.76,3.62,29,1021.1,19.4,19.8,16.8,0.33
20177151450,2017,7,15,14,50,320,3.2,3.8,4.76,3.53,26,1021.2,19.3,19.9,16.9,0.3
20177151550,2017,7,15,15,50,290,1.8,2.3,5,3.48,17,1021,19.4,20.2,17.1,0.29
20177151650,2017,7,15,16,50,240,2.8,3.3,4.35,3.41,333,1020.5,19.5,20.4,17.3,0.26
20177152150,2017,7,15,21,50,178,6,6.8,2.47,2.53,157,1017,20.9,20.6,17,0.28
20177152250,2017,7,15,22,50,178,6,6.9,2.6,2.64,156,1016.4,21,20.6,17.6,0.32
20177152350,2017,7,15,23,50,187,5.7,6.7,2.86,2.7,155,1015.9,21.2,20.5,18.2,0.34
2017716050,2017,7,16,0,50,193,5.1,5.9,2.6,2.61,156,1015.4,21.1,20.5,18.9,0.29
2017716150,2017,7,16,1,50,206,4.6,5.7,2.74,2.65,159,1015.4,21.2,20.4,19.5,0.26
2017716550,2017,7,16,5,50,241,12.1,14.8,2.74,2.62,209,1011.4,21.5,20.1,19.4,0.25
2017716650,2017,7,16,6,50,345,7.4,10.5,3.85,3.71,227,1013.2,23.6,20,19.2,1.09
2017716750,2017,7,16,7,50,351,6.9,8.2,5,3.85,243,1013.6,21.8,20,18.6,0.82
2017716850,2017,7,16,8,50,357,8.2,9.7,4.55,3.56,255,1014,20,20.1,18.9,0.76
2017716950,2017,7,16,9,50,5,9.8,11.4,3.85,3.51,329,1014.1,19.5,20.1,18.2,0.89
20177161050,2017,7,16,10,50,2,8.1,9.5,4.17,3.58,353,1014.6,19.5,20,18,0.82
20177161150,2017,7,16,11,50,9,9.3,10.9,4.55,3.85,355,1014.6,19.2,20,17.6,1.01
20177161250,2017,7,16,12,50,10,10.1,11.7,4.76,4.02,10,1015.3,18.9,20,17.6,1.19
20177161350,2017,7,16,13,50,7,11.7,13.7,5.26,4.19,18,1015.8,18.5,19.9,17.2,1.3
20177161450,2017,7,16,14,50,6,9.3,11.3,5.26,4.53,17,1016.3,18.3,19.9,17.1,1.5
20177161550,2017,7,16,15,50,12,9.9,11.7,5.56,4.97,18,1016.4,18.1,19.8,16.9,1.94
20177161650,2017,7,16,16,50,10,9.6,11.3,5.88,4.76,21,1016.8,17.8,19.8,16.6,1.61
20177161750,2017,7,16,17,50,7,9.2,11.2,6.25,4.95,24,1016.7,17.9,19.8,16.4,1.61
20177161850,2017,7,16,18,50,7,9.2,10.9,6.25,4.84,27,1016.9,17.7,19.8,15.7,1.58
20177161950,2017,7,16,19,50,3,9,10.3,6.67,4.98,25,1017,17.5,19.9,15.4,1.6
20177162050,2017,7,16,20,50,4,10.1,11.6,6.67,5.01,22,1016.9,17.6,19.9,15.5,1.58
20177162150,2017,7,16,21,50,7,9.3,11,6.67,5.13,20,1016.9,17.5,19.9,14.8,1.75
20177162250,2017,7,16,22,50,7,9.3,10.8,6.67,5.04,29,1016.6,17.7,19.9,15.1,1.64
20177162350,2017,7,16,23,50,1,8.7,10.1,6.67,5.09,26,1016.6,17.9,19.9,14.9,1.68
2017717050,2017,7,17,0,50,3,9.7,11.6,6.25,4.86,29,1016.4,18.1,19.8,14.3,1.59
2017717150,2017,7,17,1,50,8,8.6,10,6.67,4.77,29,1016.5,17.9,19.8,15.2,1.48
2017717250,2017,7,17,2,50,14,9.4,11,6.67,4.79,30,1016.5,17.8,19.7,15.5,1.51
2017717350,2017,7,17,3,50,13,8.8,10.2,5.88,4.58,33,1016.8,17.9,19.7,15.3,1.62
2017717450,2017,7,17,4,50,19,7.8,9.1,5.88,4.36,24,1017.1,18.1,19.7,15.7,1.3
2017717550,2017,7,17,5,50,21,6.7,7.8,6.25,4.34,20,1016.8,18.3,19.6,15.7,1.22
2017717650,2017,7,17,6,50,16,6.6,7.4,5.88,4.25,25,1016.6,18.3,19.6,15.6,1.04
2017717750,2017,7,17,7,50,10,6.1,7.1,5.56,4.31,21,1016.6,18.2,19.6,15.4,0.99
2017717850,2017,7,17,8,50,17,5.7,6.7,5.88,4.38,22,1016.3,18.1,19.6,15.6,1
2017717950,2017,7,17,9,50,23,4.6,5.8,5.56,4.2,13,1016.6,18.1,19.5,16.1,0.81
20177171050,2017,7,17,10,50,22,4.4,5.1,5.88,4.14,7,1016.7,18.2,19.5,16.3,0.68
20177171150,2017,7,17,11,50,19,4.2,4.8,5.56,4.1,5,1017.2,18.5,19.5,16.7,0.61
20177171250,2017,7,17,12,50,41,3.6,5.1,5.56,4.14,358,1017.6,18.7,19.6,16.3,0.57
20177171350,2017,7,17,13,50,52,3.8,4.7,5.56,4.01,353,1018,18.5,19.6,16.5,0.52
20177171450,2017,7,17,14,50,49,2.6,3.3,5,4.03,352,1018.4,18.3,19.7,16.2,0.51
20177171550,2017,7,17,15,50,34,2.4,3.5,5,3.91,4,1018.4,18.1,19.9,15.9,0.49
20177171650,2017,7,17,16,50,32,2.6,3.4,5,3.78,12,1018.6,18.3,20,16.2,0.46
20177171750,2017,7,17,17,50,42,2.5,3.4,4.76,3.72,1,1018.5,18.7,20,16.1,0.43
20177171850,2017,7,17,18,50,21,2.7,3.9,4.55,3.64,16,1018.1,18.9,20.2,16.1,0.43
20177171950,2017,7,17,19,50,22,3.3,4,4.55,3.64,17,1017.5,18.9,20.4,16.6,0.42
20177172050,2017,7,17,20,50,15,2.2,2.6,4.35,3.73,11,1017.4,18.9,20.5,16.6,0.45
20177172150,2017,7,17,21,50,8,2.8,3.6,4.35,3.76,29,1017.4,19,20.7,16.7,0.44
20177172250,2017,7,17,22,50,24,2.6,3.7,4.55,3.69,22,1017.1,19.2,20.6,16.8,0.44
20177172350,2017,7,17,23,50,13,2.1,2.8,4.35,3.67,14,1017.1,19.2,20.5,16.6,0.44
2017718050,2017,7,18,0,50,2,2.1,2.6,4.55,3.63,25,1017.1,19.3,20.4,16.8,0.38
2017718150,2017,7,18,1,50,42,2.1,2.5,4.76,3.67,14,1016.8,19,20.4,16.8,0.39
2017718250,2017,7,18,2,50,60,2.2,2.7,4.76,3.75,357,1017,19.2,20.3,16.4,0.33
2017718350,2017,7,18,3,50,35,0.9,1.3,5,3.82,356,1017.7,19.2,20.3,16.3,0.31
2017718450,2017,7,18,4,50,48,1.7,2.1,5,3.75,7,1017.8,19.2,20.3,16.6,0.28
20177192250,2017,7,19,22,50,25,3,3.3,2.94,2.78,21,1017.7,21.4,21.6,18.8,0.26
20177192350,2017,7,19,23,50,31,2.3,2.7,3.03,2.87,13,1017.6,21.7,21.6,18.2,0.29
2017720450,2017,7,20,4,50,276,11.4,13.1,2.6,2.62,232,1016.3,21,21.3,20,0.28
2017720550,2017,7,20,5,50,189,11.1,13.3,3.57,3.28,187,1009.1,21.9,20.9,19.8,0.79
2017720650,2017,7,20,6,50,274,13.5,16.5,4,3.59,204,1012.2,21.4,20.6,19.6,0.98
2017720750,2017,7,20,7,50,333,5.2,7.8,4.55,3.83,260,1015.5,20.7,20.4,19.5,0.97
2017720850,2017,7,20,8,50,271,3.6,4.4,4.35,3.77,207,1015.5,20.5,20.4,19.8,0.86
2017720950,2017,7,20,9,50,278,3.8,4.5,4.35,3.74,224,1015.4,20.4,20.4,19.8,0.78
20177201050,2017,7,20,10,50,275,5.2,6.4,4.17,3.62,209,1016.6,20.7,20.3,19.8,0.62
20177201150,2017,7,20,11,50,288,5.6,6.7,4.17,3.24,241,1017,20.8,20.4,19.4,0.64
20177201250,2017,7,20,12,50,207,9.5,10.7,4.17,3.19,218,1014.2,20.2,20.4,19.5,0.45
20177201350,2017,7,20,13,50,192,7,8.1,4,3.02,171,1014.1,21.2,20.3,19.3,0.46
20177201450,2017,7,20,14,50,211,6.8,8.8,3.45,3.13,167,1014.2,21.1,20.3,19.6,0.51
20177201550,2017,7,20,15,50,256,5.2,6.5,3.85,3.34,175,1014.8,21.1,20.4,20.1,0.56
20177201650,2017,7,20,16,50,344,1,1.5,4.55,3.73,207,1015,21,20.5,20.3,0.69
20177201750,2017,7,20,17,50,69,1.1,1.5,4.76,3.99,199,1015,21.5,21.6,20.3,0.73
20177201850,2017,7,20,18,50,89,1.8,2.2,4.76,4.05,151,1014.7,21.5,21.7,20.5,0.68
20177201950,2017,7,20,19,50,106,2.5,3,4.76,4.12,159,1014.6,21.8,21.9,20.8,0.71
20177202050,2017,7,20,20,50,133,2,2.3,5.26,4.21,158,1014.8,22.2,22,21.2,0.73
20177202150,2017,7,20,21,50,107,1.5,2,4.76,3.97,159,1014.5,22.5,22.3,21.4,0.62
20177202250,2017,7,20,22,50,133,2.5,2.7,4.76,3.72,150,1014.2,22.6,22.2,21.3,0.52
20177202350,2017,7,20,23,50,124,1.8,2.1,3.7,3.52,161,1014.3,22.6,22.3,21.3,0.43
2017721050,2017,7,21,0,50,145,1.6,1.7,4,3.29,157,1014.3,22.7,22.2,21.3,0.35
2017721150,2017,7,21,1,50,214,2.1,2.4,3.7,3.2,156,1014.6,22.2,22.1,21.7,0.26
2017722450,2017,7,22,4,50,101,5.7,6.9,2.6,2.57,106,1010.7,22.6,21.4,21.7,0.33
2017722550,2017,7,22,5,50,102,5.9,6.9,2.94,2.77,109,1010.3,22.3,21.3,20.9,0.36
2017722650,2017,7,22,6,50,101,6.9,8,3.23,3.04,111,1010.2,22.2,21.2,21.5,0.48
2017722750,2017,7,22,7,50,145,6.4,7.6,3.57,3.31,104,1009.3,22.2,21.1,21.7,0.67
2017722950,2017,7,22,9,50,205,4.2,4.8,3.85,3.37,95,1008,21.6,21,18.7,0.63
20177221050,2017,7,22,10,50,215,3.6,4.8,4,3.54,106,1008,21.5,21,18.6,0.64
20177221150,2017,7,22,11,50,227,3.8,4.8,4.55,3.9,138,1008.4,21.6,21,18.4,0.81
20177221250,2017,7,22,12,50,318,2.6,3.1,4.76,3.91,190,1008.5,21.8,20.9,18,0.72
20177221350,2017,7,22,13,50,338,3.2,4,4.76,4.02,211,1009,21.4,21,17.7,0.61
20177221450,2017,7,22,14,50,331,3.1,3.7,4.76,3.92,213,1009.1,21.3,21,17.5,0.48
20177221550,2017,7,22,15,50,309,4.3,4.9,4.55,3.86,212,1010,21.4,21,17.5,0.43
20177221650,2017,7,22,16,50,315,2.1,2.4,5.56,4.41,205,1009.5,21.5,21.2,17.5,0.49
20177221750,2017,7,22,17,50,334,3.3,4.3,5,4.29,212,1009.8,21.4,21.2,17.9,0.46
20177221850,2017,7,22,18,50,316,3.5,4,4.76,3.9,215,1009.6,21.2,21.1,17.9,0.38
